banking marketing,,,,,,,,,,,,,,,,,,
customer id and age.,,Customer salary and balance.,,Customer marital status and job with education level.,,particular customer before targeted or not,,Loan types: loans or housing loans,,Contact type,,month of contact,duration of call,,,,outcome of previous contact,response of customer after call happned
customerid,age,salary,balance,marital,jobedu,targeted,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,response
1,58,100000,2143,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",261 sec,1,-1,0,unknown,no
2,44,60000,29,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",151 sec,1,-1,0,unknown,no
3,33,120000,2,married,"entrepreneur,secondary",yes,no,yes,yes,unknown,5,"may, 2017",76 sec,1,-1,0,unknown,no
4,47,20000,1506,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",92 sec,1,-1,0,unknown,no
5,33,0,1,single,"unknown,unknown",no,no,no,no,unknown,5,"may, 2017",198 sec,1,-1,0,unknown,no
6,35,100000,231,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",139 sec,1,-1,0,unknown,no
7,28,100000,447,single,"management,tertiary",no,no,yes,yes,unknown,5,"may, 2017",217 sec,1,-1,0,unknown,no
8,42,120000,2,divorced,"entrepreneur,tertiary",no,yes,yes,no,unknown,5,"may, 2017",380 sec,1,-1,0,unknown,no
9,58,55000,121,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",50 sec,1,-1,0,unknown,no
10,43,60000,593,single,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",55 sec,1,-1,0,unknown,no
11,41,50000,270,divorced,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",222 sec,1,-1,0,unknown,no
12,29,50000,390,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",137 sec,1,-1,0,unknown,no
13,53,60000,6,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",517 sec,1,-1,0,unknown,no
14,58,60000,71,married,"technician,unknown",no,no,yes,no,unknown,5,"may, 2017",71 sec,1,-1,0,unknown,no
15,57,70000,162,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",174 sec,1,-1,0,unknown,no
16,51,55000,229,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",353 sec,1,-1,0,unknown,no
17,45,50000,13,single,"admin.,unknown",no,no,yes,no,unknown,5,"may, 2017",98 sec,1,-1,0,unknown,no
18,57,20000,52,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",38 sec,1,-1,0,unknown,no
19,60,55000,60,married,"retired,primary",yes,no,yes,no,unknown,5,"may, 2017",219 sec,1,-1,0,unknown,no
20,33,70000,0,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",54 sec,1,-1,0,unknown,no
21,28,20000,723,married,"blue-collar,secondary",yes,no,yes,yes,unknown,5,"may, 2017",262 sec,1,-1,0,unknown,no
22,56,100000,779,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",164 sec,1,-1,0,unknown,no
23,32,20000,23,single,"blue-collar,primary",yes,no,yes,yes,unknown,5,"may, 2017",160 sec,1,-1,0,unknown,no
24,25,70000,50,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",342 sec,1,-1,0,unknown,no
25,40,55000,0,married,"retired,primary",yes,no,yes,yes,unknown,5,"may, 2017",181 sec,1,-1,0,unknown,no
26,44,50000,-372,married,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",172 sec,1,-1,0,unknown,no
27,39,100000,255,single,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",296 sec,1,-1,0,unknown,no
28,52,120000,113,married,"entrepreneur,secondary",yes,no,yes,yes,unknown,5,"may, 2017",127 sec,1,-1,0,unknown,no
29,46,100000,-246,single,"management,secondary",yes,no,yes,no,unknown,5,"may, 2017",255 sec,2,-1,0,unknown,no
30,36,60000,265,single,"technician,secondary",yes,no,yes,yes,unknown,5,"may, 2017",348 sec,1,-1,0,unknown,no
31,57,60000,839,married,"technician,secondary",yes,no,no,yes,unknown,5,"may, 2017",225 sec,1,-1,0,unknown,no
32,49,100000,378,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",230 sec,1,-1,0,unknown,no
33,60,50000,39,married,"admin.,secondary",yes,no,yes,yes,unknown,5,"may, 2017",208 sec,1,-1,0,unknown,no
34,59,20000,0,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",226 sec,1,-1,0,unknown,no
35,51,100000,10635,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",336 sec,1,-1,0,unknown,no
36,57,60000,63,divorced,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",242 sec,1,-1,0,unknown,no
37,25,20000,-7,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",365 sec,1,-1,0,unknown,no
38,53,60000,-3,married,"technician,secondary",yes,no,no,no,unknown,5,"may, 2017",1666 sec,1,-1,0,unknown,no
39,36,50000,506,divorced,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",577 sec,1,-1,0,unknown,no
40,37,50000,0,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",137 sec,1,-1,0,unknown,no
41,44,70000,2586,divorced,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",160 sec,1,-1,0,unknown,no
42,50,100000,49,married,"management,secondary",yes,no,yes,no,unknown,5,"may, 2017",180 sec,2,-1,0,unknown,no
43,60,20000,104,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",22 sec,1,-1,0,unknown,no
44,54,55000,529,married,"retired,secondary",yes,no,yes,no,unknown,5,"may, 2017",1492 sec,1,-1,0,unknown,no
45,58,55000,96,married,"retired,unknown",no,no,yes,no,unknown,5,"may, 2017",616 sec,1,-1,0,unknown,no
46,36,50000,-171,single,"admin.,primary",yes,no,yes,no,unknown,5,"may, 2017",242 sec,1,-1,0,unknown,no
47,58,60000,-364,married,"self-employed,tertiary",yes,no,yes,no,unknown,5,"may, 2017",355 sec,1,-1,0,unknown,no
48,44,60000,0,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",225 sec,2,-1,0,unknown,no
49,55,60000,0,divorced,"technician,secondary",yes,no,no,no,unknown,5,"may, 2017",160 sec,1,-1,0,unknown,no
50,29,100000,0,single,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",363 sec,1,-1,0,unknown,no
51,54,20000,1291,married,"blue-collar,secondary",yes,no,yes,no,unknown,5,"may, 2017",266 sec,1,-1,0,unknown,no
52,48,100000,-244,divorced,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",253 sec,1,-1,0,unknown,no
53,32,100000,0,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",179 sec,1,-1,0,unknown,no
54,42,50000,-76,single,"admin.,secondary",yes,no,yes,no,unknown,5,"may, 2017",787 sec,1,-1,0,unknown,no
55,24,60000,-103,single,"technician,secondary",yes,no,yes,yes,unknown,5,"may, 2017",145 sec,1,-1,0,unknown,no
56,38,120000,243,single,"entrepreneur,tertiary",no,no,no,yes,unknown,5,"may, 2017",174 sec,1,-1,0,unknown,no
57,38,100000,424,single,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",104 sec,1,-1,0,unknown,no
58,47,20000,306,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",13 sec,1,-1,0,unknown,no
59,40,20000,24,single,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",185 sec,1,-1,0,unknown,no
60,46,70000,179,married,"services,primary",yes,no,yes,no,unknown,5,"may, 2017",1778 sec,1,-1,0,unknown,no
61,32,50000,0,married,"admin.,tertiary",yes,no,yes,no,unknown,5,"may, 2017",138 sec,1,-1,0,unknown,no
62,53,60000,989,divorced,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",812 sec,1,-1,0,unknown,no
63,57,20000,249,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",164 sec,1,-1,0,unknown,no
64,33,70000,790,married,"services,secondary",yes,no,yes,no,unknown,5,"may, 2017",391 sec,1,-1,0,unknown,no
65,49,20000,154,married,"blue-collar,unknown",no,no,yes,no,unknown,5,"may, 2017",357 sec,1,-1,0,unknown,no
66,51,100000,6530,married,"management,tertiary",yes,no,yes,no,unknown,5,"may, 2017",91 sec,1,-1,0,unknown,no
67,60,55000,100,married,"retired,tertiary",yes,no,no,no,unknown,5,"may, 2017",528 sec,1,-1,0,unknown,no
68,59,100000,59,divorced,"management,tertiary",no,no,yes,no,unknown,5,"may, 2017",273 sec,1,-1,0,unknown,no
69,55,60000,1205,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",158 sec,2,-1,0,unknown,no
70,35,20000,12223,single,"blue-collar,secondary",yes,no,yes,yes,unknown,5,"may, 2017",177 sec,1,-1,0,unknown,no
71,57,20000,5935,married,"blue-collar,secondary",yes,no,yes,yes,unknown,5,"may, 2017",258 sec,1,-1,0,unknown,no
72,31,70000,25,married,"services,secondary",yes,no,yes,yes,unknown,5,"may, 2017",172 sec,1,-1,0,unknown,no
73,54,100000,282,married,"management,secondary",yes,no,yes,yes,unknown,5,"may, 2017",154 sec,1,-1,0,unknown,no
74,55,20000,23,married,"blue-collar,primary",yes,no,yes,no,unknown,5,"may, 2017",291 sec,1,-1,0,unknown,no
75,43,60000,1937,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",181 sec,1,-1,0,unknown,no
76,53,60000,384,married,"technician,secondary",yes,no,yes,no,unknown,5,"may, 2017",176 sec,1,-1,0,unknown,no
77,44,20000,582,married,"blue-collar,secondary",yes,no,no,yes,unknown,5,"may, 2017",211 sec,1,-1,0,unknown,no
78,55,70000,91,divorced,"services,secondary",yes,no,no,no,unknown,5,"may, 2017",349 sec,1,-1,0,unknown,no
79,49,70000,0,divorced,"services,secondary",yes,no,yes,yes,unknown,5,"may, 2017",272 sec,1,-1,0,unknown,no
80,55,70000,1,divorced,"services,secondary",yes,yes,yes,no,unknown,5,"may, 2017",208 sec,1,-1,0,unknown,no
